title	genre	imdb_rating	summary	plot
Тачки 3	спортивная комедия приключения	6.7	"«Тачки 3» (англ. Cars 3) — американский компьютерно-анимационный спортивный комедийно-приключенческий фильм 2017 года, снятый студией Pixar Animation Studios для кинокомпании Walt Disney Pictures. Это продолжение мультфильма «Тачки 2» и третий мультфильм во франшизе «Тачки». Режиссёром выступил Брайан Фи (в его режиссёрском дебюте), продюсерами — Кевин Реэр и Андреа Уоррен по сценарию Кила Мюррея, Боба Питерсона и Майка Рича и сюжету Фи, Бена Куина и команды сценаристов Эяла Поделлы и Джонатана Э. Стюарта. Джон Лассетер, который снял первые два фильма «Тачки», выступил исполнительным продюсером. Главные роли озвучивали Оуэн Уилсон, Ларри-кабельщик, Бонни Хант, Тони Шалуб, Гуидо Куарони, Чич Марин, Дженифер Льюис, Пол Дули, Ллойд Шерр, Майкл Уоллис, Кэтрин Хелмонд и Джон Ратценбергер, а также Кристела Алонсо, Крис Купер, Арми Хаммер, Нейтан Филлион, Лиа Делария, Керри Вашингтон и дюжина людей NASCAR. По сюжету, Молния Маккуин с помощью молодого техника Крус Рамирес намеревается доказать новому поколению гоночных автомобилей, что он всё ещё лучший гонщик в мире, чтобы помешать Джексону Шторму выиграть гонку во Флориде 500.
Переговоры о третьем фильме «Тачки» начались в конце 2011 года после выхода его предшественника и производство началось в 2014 году, когда Лассетер заявил, что это будет «очень эмоциональная история», и вернётся к темам первого фильма. Производственная команда фильма провела исследование нескольких гонщиков NASCAR, особенно пожилых, а также спортивного психоаналитика, и сосредоточилась на отношениях Маккуина с Доком Хадсоном и их значении. В производстве использовалась новая система рендеринга Rix Integration Subsystem (RIS), которая ранее использовалась в мультфильме «В поисках Дори». Новые члены актёрского состава, включая Хаммера и Алонсо, были объявлены в январе 2017 года, а затем два месяца спустя были объявлены Филлион, Вашингтон и Делария. Рэнди Ньюман, который работал над первым фильмом, написал музыку к фильму с такими артистами, как Андра Дэй, Джеймс Бэй, Брэд Пейсли и Хорхе Бланко, которые записали песни к фильму.
Премьера мультфильма состоялась 23 мая 2017 года, он был впервые показан для индустрии NASCAR в Каннаполисе, Северная Каролина, затем 15 июня в СНГ и 16 июня в США в сопровождении короткометражного мультфильма «Лу». Он заработал 383 миллиона долларов по всему миру при бюджете в 175 миллионов долларов, став наименее кассовым мультфильмом во франшизе, но всё же имевшим коммерческий успех. Он получил в целом положительные отзывы от критиков с похвалой за его анимацию, сюжет и эмоциональную глубину, и многие из них считают его улучшением по сравнению с его предшественником."	Во время окончания одной гонки Молния Маккуин знакомится с Джексоном Штормом, высокомерным гонщиком, который является машиной следующего поколения, использующего новейшие технологии для повышения производительности и продуктивности. Поскольку всё больше и больше автомобилей нового поколения начинают участвовать в гонках, другие гонщики постепенно уходят в отставку или увольняются их спонсорами. Во время финальной гонки Молния пытается обогнать Джексона, но у него перегревается двигатель и лопается шина. В результате этого он теряет контроль над управлением и переворачивается. Спустя четыре месяца Молния возвращается в Радиатор-Спрингс и размышляет об аварии своего покойного наставника Дока Хадсона, который так же завершил свою карьеру.
Другая драма	фильмбиография драма мелодрама экранизация	6.5	"«Другая драма» (или «Пастернак»; англ.: Pasternak) — советско-британский телефильм 1990 года режиссёра Андрея Некрасова.
Фильм был снят в Ленинграде, с полностью советским актёрским составом и съёмочной группой, но по заказу британского телеканала Granada Television."	Фильм-биография поэта Бориса Пастернака, где жизнь писателя переплетается со сценами из его романа «Доктор Живаго». «Пастернак», с его изображениями чувствительного поэта, хватающегося за лоб и размышляющего о глубоких мыслях о любви, жизни и смерти, может показаться многим нерусским напыщенным и претенциозным. … В конце концов, этот Пастернак остается неуловимой фигурой, тщательно замаскированной под всеми этими грандиозными заявлениями о любви, жизни и смерти. В своем стремлении раскрыть сущность русской души г-н Некрасов в конечном итоге упускает из виду самого человека.
Чудовище (фильм, 1977, Франция)	комедия мелодрама	6.5	"«Чудо́вище» — французская кинокомедия с Жан-Полем Бельмондо в двойной роли.
В СССР фильм шёл в кинотеатрах с советским дубляжем киностудии «Мосфильм» в 1979 году. Именно прокат этого фильма вывел Николая Караченцова в качестве русского голоса Бельмондо."	Каскадёр Мишель Гоше (Жан-Поль Бельмондо) не очень-то преуспел на профессиональном поприще, поэтому хватается за любую работу и получает социальную помощь через обследование нуждаемости, чтобы свести концы с концами. Даже собственная свадьба с каскадёршей Джейн Гарднер (Ракель Уэлч), которая уже давно ждала этого дня, не является для него уважительной причиной для отказа от внезапно подвернувшейся работы, и по пути в мэрию они заезжают на съёмочную площадку, где должны исполнить каскадёрский трюк. Джейн, не ожидавшая, что ей придётся работать в такой торжественный день, устраивает Мишелю скандал, в результате чего он теряет управление автомобилем, и оба оказываются на больничной койке со множественными травмами. Это становится для Джейн последней каплей, и она после выздоровления оставляет и свою опасную работу, и своего жениха. Но, потерпев неудачу с нею, Мишель получает очень выгодное предложение от итальянского режиссёра, приехавшего во Францию для съёмок своего нового боевика.
Очень хорошие девочки	драма	5.9	«О́чень хоро́шие де́вочки» (англ. Very Good Girls) — американский фильм режиссёра Наоми Фонер. В главных ролях — Дакота Фэннинг и Элизабет Олсен.	В центре сюжета две лучшие подруги — Лили и Джерри. Перед колледжем они договариваются лишиться девственности, и по случайности влюбляются в одного и того же уличного художника — Дэвида. Их дружба впервые проходит тяжкое испытание.
Уимблдон (фильм)	романтическая комедия фильм о спорте	6.3	«Уимблдо́н» (англ. Wimbledon) — романтическая спортивная комедия 2004 года, поставленная режиссёром Ричардом Лонкрейном.	Теннисисту Питеру Кольту (Пол Беттани) уже 32 года. Когда-то он был первой ракеткой Великобритании и одиннадцатым в мировой табели о рангах. Но сейчас Кольт скатился во вторую сотню профессионального рейтинга; никого из первой десятки он не может обыграть уже несколько лет. Питер принимает решение завершить спортивную карьеру; в модном фитнес-клубе его ждёт скучная работа инструктора, обучающего базовой технике тенниса молодящихся обеспеченных домохозяек. Но грядёт Уимблдонский турнир, и Кольт как англичанин, представитель страны-организатора, получает приглашение напоследок принять в нём участие.
Мира (фильм, 2022)	фантастика приключения драма	5.9	«Ми́ра» — российский научно-фантастический фильм режиссёра Дмитрия Киселёва, главные роли в котором сыграли Вероника Устимова, Евгений Егоров и Анатолий Белый. Вышел в широкий прокат 22 декабря 2022 года. Производством занимались кинокомпании «Марс Медиа Энтертейнмент» и «Амедиа» при поддержке Фонда кино.	Недалёкое будущее. Жители Владивостока ожидают долгожданный  метеоритный дождь, вызванный пролётом в непосредственной близости от Земли астероида диаметром в полкилометра. На фоне этого 15-летняя Лера Арабова, вынужденная привыкать к жизни с отчимом Борисом и младшим братом Егором, принимает участие в школьных соревнованиях по бегу, где вначале сильно отстаёт от остальных бегуний, затем вырывается вперёд. Но все её усилия заканчиваются провалом — её знакомый, Миша, выбегает прямо перед финишем с зажжёным фальшфейером в протезе правой руки, вызывая у неё приступ панической атаки — она подсознательно боится любого огня после несчастного случая - пожара в неисправном лифте за 6 лет до событий фильма. Практически вся левая рука Леры, как позже выясняется на дне рождения её брата, покрыта рубцами и шрамами от ожогов.
Скуби-Ду! На Диком Западе	приключения	6.6	«Скуби-Ду! На Диком Западе» (англ. Scooby-Doo! Shaggy’s Showdown) — американский анимационный фильм студии Warner Bros. Animation из франшизы «Скуби-Ду». Премьера в цифровом формате состоялась 31 января 2017 года. На DVD мультфильм вышел 14 февраля 2017 года. В России мультфильм транслировался в феврале 2021 года на канале Boomerang. В оригинале мультфильм называется «Скуби-Ду! Разборки Шегги».	Банда отправляется в западную деревню в гости к кузену Шэгги. Но город опустел, поскольку призрачный ковбой, который оказывается предком Шэгги, преследует его. Тем временем Шэгги обнаруживает, что у него есть природный талант к верховой езде. Но с аллергией Велмы разгадать эту загадку становится все труднее.
Хлорка (фильм)	драматический фильм	5.8	Хлорка (итал. Cloro) — фильм 2015 года итальянского режиссера Ламберто Санфеличе.	17-летняя Дженнифер живёт в Остии, где, помимо учёбы в техническом институте, тренируется в бассейне со своей подругой Флавией, чтобы принять участие в парном соревновании по синхронному плаванию. Но вдруг оказалось, что для этого нужно жить в горах Маджелла. А в семье Дженнифер случилось так, что мать умерла, а отец впал в сильную депрессию, потеряв работу и дом, и она должна присматривать за ним и младшим братом. Бросив школу, чтобы прокормить семью, стала работать в гостинице. Отель оснащен крытым бассейном и Дженни находит способ продолжить тренировки с участием Ивана, ночной сторож, с которым переплетаются отношения.
Ноябрьские преступники (фильм)	Криминальная драма	5.3	"«Ноябрьские преступники» (англ. November Criminals) — американский криминальный драматический фильм 2017 года, экранизация одноименного романа Сэма Мансона режиссера Саши Джерваси о молодом парне по имени Эддисон, который решил сам расследовать убийство его друга. В фильме снимались Энсел Эльгорт, Хлоя Грейс Морец, Кэтрин Кинер и Дэвид Стрэтэйрн.
Премьера фильма состоялась 7 ноября 2017 года."	Фильм начинается со старых кадров, на которых молодой Эддисон Шахт и его мать играют на пляже. Голос за кадром рассказывает, что мать Эддисона умерла от аневризмы за шесть месяцев до событий фильма. В настоящее время подросток Эддисон Шахт подает заявление в Чикагский университет вместе со своей подругой Фиби Зелени. Бросив конверт, пара отправляется в местную пекарню выпить кофе. Там они встречают Кевина Бродуса, который является общим другом Эддисона и Фиби и сотрудником пекарни.
Вышибала (фильм, 2000)	триллер драма	5.3	«Вышибала» (англ. Bruiser) — триллер режиссёра Джорджа Ромеро. Премьера фильма состоялась 13 февраля 2000 года.	Генри Кридоу — работник, которого не в чём упрекнуть, он идеально выполняет возложенные начальством на него обязанности. Ему все указывают — его начальник, жена, друзья, но он не выражает своего недовольства или мнения. Ему снятся кровавые сны, он мечтает о том, как убьёт всех, кто над ним издевается. Однажды Генри просыпается утром и видит что у него нет лица, а вместо лица у него белая маска, которую он не может снять. Потеряв таким образом своё лицо Генри решается мстить тем, кто над ним издевался.
Мэри Поппинс, до свидания	фильмсказка  мюзикл	7.5	«Мэ́ри По́ппинс, до свида́ния» — телевизионный художественный музыкальный фильм-мюзикл режиссёра Леонида Квинихидзе в двух сериях («Леди Совершенство» и «Неделя кончается в среду»), снятый творческим объединением телевизионных фильмов киностудии «Мосфильм» по заказу Гостелерадио СССР в 1983 году по произведениям Памелы Трэверс о Мэри Поппинс. Телепремьера состоялась 8 января 1984 года.	Действие фильма происходит в столице Англии, Лондоне. В доме № 17 на Вишнёвой улице семейство Бэнкс озабочено поисками няни для своих детей. Они публикуют соответствующее объявление в газете. Вскоре на их пороге появляется молодая няня Мэри Поппинс и соглашается с условиями работать за самое скромное денежное вознаграждение. У неё нет рекомендаций, но маме не из кого выбирать.
Чёрная молния (фильм, 2009)	фантастика боевик приключения супергеройский	5.7	"«Чёрная молния» — российский супергеройский фильм, снятый режиссёрами Александром Войтинским и Дмитрием Киселёвым. В широкий прокат фильм вышел 31 декабря 2009 года, однако в некоторых кинотеатрах фильм начал демонстрироваться с 26 декабря.
Слоган фильма — «Ты должен подняться»."	В земной коре, под тектонической плитой, на которой стоит Москва, было обнаружено большое скопление алмазов. Бизнесмен Виктор Александрович Купцов решает во что бы то ни стало завладеть ими, для чего был построен гигантский бур. В начале фильма показывают сцену: Купцов смотрит на работающий бур, и один из учёных требует прекратить процесс, намекая, что из-за подземных толчков город может полностью обрушиться («Это же геологический фундамент Москвы! Если он треснет, дома начнут падать…»), на что получает ответ: «Алмазы будут моими!» Но скорость бурения начинает падать, а затем бур и вовсе останавливается. Купцов и учёный покидают помещение, и учёный рассказывает бизнесмену, что для работы бура нужно некое устройство, называемое «нанокатализатор».
Персеваль Валлиец	экранизация романа	6.9	Персеваль Валлиец (фр. Perceval le Gallois) — фильм режиссёра Эрика Ромера, вышедший на экраны 8 октября 1978.	Внесерийный фильм Ромера, и его вторая лента на историческую тематику. Экранизация неоконченного романа Кретьена де Труа «Персеваль, или Сказание о Граале». Сюжет картины, в основном, следует литературному источнику. Юный валлиец, сын вдовы Персеваль на охоте в лесу встречает рыцарей короля Артура. Пораженный их внешним видом, юноша, от которого мать скрывала существование рыцарства, принимает незнакомцев за ангелов.
Патруль (фильм)	псевдодокументальный криминальный фильм	7.6	«Патруль» (англ. End of Watch) — криминальный боевик сценариста и режиссёра Дэвида Эйера, снятый в стиле мокьюментари. Главные роли исполняют Джейк Джилленхол и Майкл Пенья. Премьера состоялась на кинофестивале в Торонто 8 сентября 2012 года. В США фильм вышел в широкий прокат 21 сентября 2012, в России — 20 сентября 2012.	Полицейские Брайан Тейлор (Джейк Джилленхол) и латиноамериканец Майк Завала (Майкл Пенья) патрулируют неспокойный район Лос-Анджелеса, где инициатива переходит от чёрных Кровавых к мексиканским наркоторговцам. Брайан начинает снимать свою работу на камеру. Напарники действуют смело. У приятелей всё хорошо как на работе, где они удостаиваются высшей награды за спасение детей из пожара, так и в личной жизни, где Брайан встречается и вскоре женится на Дженет (Анна Кендрик), а Майк с женой Габби (Натали Мартинес) зачинают первенца. Однажды во время патрулирования одного из районов напарники случайно попадают в самый эпицентр криминальных событий.
Мальчик, который умел летать	фэнтези драма	6.5	«Мальчик, который умел летать» (англ. The Boy Who Could Fly) — американский драматический фильм в жанре фэнтези и с элементами мелодрамы 1986 года режиссёра Ника Кастлаа. Картина была снята Lorimar Productions для 20th Century Fox и выпущена в кинотеатрах 15 августа 1986 года.	После самоубийства неизлечимо больного отца 14-летняя Милли Майклсон (Люси Дикинс) подружилась с Эриком Гиббом (Джей Андервуд), мальчиком с аутизмом, который потерял обоих родителей в авиакатастрофе. Вместе Эрик и Милли находят способы справиться с потерей и болью, убегая в далёкие места.
Добро пожаловать к Райли	драма	6.9	«Добро пожаловать к Райли» (англ. Welcome to the Rileys) — независимая американская драма 2010 года, снятая Джейком Скоттом, по сценарию Кена Хиксона. В главных ролях снимались Кристен Стюарт, Джеймс Гандольфини и Мелисса Лео. Фильм был впервые показан в 2010 году на кинофестивале Сандэнс.	Даг и Лоис Райли стали отдаляться друг от друга после смерти их дочери Эмили. Пока Лоис борется с непрекращающимся ощущением вины, Даг пытается забыться, заводя роман с Вивиан, местной официанткой. Со временем Лоис полностью замыкается в себе, боясь выходить на улицу. И когда Вивиан внезапно умирает, Даг отправляется в стриптиз-клуб во время деловой командировки, пытаясь разобраться в сложившейся жизненной ситуации. Встретив там несовершеннолетнюю проститутку Мэллори, необычайно похожую на его покойную дочь, Даг делает ей самое неожиданное предложение: платить ей 100 долларов каждый день только за то, чтобы она позволила ему жить в своей маленькой квартире.
Городские пижоны (фильм)	комедия	6.8	«Городски́е пижо́ны» (англ. City Slickers) — кинокомедия Рона Андервуда.	Митч Роббинс и двое его друзей, устав от однообразной жизни, ищут приключений по всему миру. На 39-летие Митча, переживающего ярко выраженный кризис среднего возраста, друзья делают ему подарок: возможность поехать на Дикий Запад, чтобы на некоторое время стать ковбоем. Хозяин ранчо встречает гостей фразой: «Вы приехали сюда городскими пижонами, а вернетесь настоящими ковбоями!» Туристическая поездка оборачивается суровым испытанием, выдержать которое смогут только настоящие мужчины. Сюжет «Городских пижонов» явно обыгрывает основную сюжетную линию классического голливудского вестерна «Красная река».
Основано на реальных событиях (фильм, 2017)	драма психологический триллер	5.7	"«Основано на реальных событиях» (фр. D'après une histoire vraie) — двадцать первый полнометражный художественный фильм французского режиссёра Романа Полански, который вышел в конце мая 2017 года. Главные роли в фильме исполнили французские актрисы Ева Грин и Эммануэль Сенье. Производством фильма занимались компании Belga Films Fund, Belga Productions и Wy Productions.
Компания Mars Distribution занимается маркетингом фильма во Франции, Sony Pictures Classics в США, а компания Lionsgate будет ответственна за его продажи в остальных странах по всему миру.
Фильм основан на одноимённом романе французской писательницы Дельфины де Виган, который вышел 26 августа 2015 года и завоевал «Премию Ренодо», а также «Гонкуровскую премию лицеистов».
Фильм был выбран для участия во внеконкурсной программе на юбилейном 70-м Канском международном кинофестивале 2017 года. На этом фестивале состоялась всемирная премьера картины 27 мая 2017 года."	Фильм рассказывает о писательнице (Сенье), которая достигла первого в своей карьере успеха и теперь страдает от депрессии. В её жизнь вторгается и угрожает загадочная и одержимая женщина по имени Эль (Грин).
Я остаюсь	комедия драма фэнтези мистика	7.4	"«Я остаю́сь» — российский художественный фильм, вышедший в прокат 19 апреля 2007 года, дебютная режиссёрская работа Карена Оганесяна. Последняя роль в кино российского актёра Андрея Краско.
Режиссёр Карен Оганесян получил за фильм специальный приз «Серебряный абрикос» ежегодного кинематографического фестиваля «Золотой абрикос», проводимого в Ереване (Армения).
Первоначально фильм имел названия «Вторая жизнь доктора Тырсы» и «Кома»."	Доктор Тырса лечит людей обычными медицинскими методами и раздражается, когда с ним заговаривают про потустороннее, загробную жизнь и общение с умершими. Единственное, что по-настоящему способно затронуть его сердце, — судьба его единственной дочери, безответно влюблённой в своего начальника. Именно из-за неё доктор и оказывается в беде: вследствие удара шаром для боулинга по голове впадает в кому, состояние между жизнью и смертью. С этого момента его взгляды на мир существенно меняются. Встретив на том свете других людей, тоже находящихся в коме, он становится более человечным, мудрым и терпимым.
Беззаботная	комедия драма	7.0	"О мызе О. Жеребцовой см. Горбунки«Беззаботная» (англ. Happy-Go-Lucky) — социальная комедия британского режиссёра Майка Ли. Фильм снят на государственные деньги с использованием поступлений от национальной лотереи. Как и в других фильмах режиссёра, диалоги и ситуации «Беззаботной» в значительной части импровизированы. 
Премьера состоялась на Берлинском кинофестивале 2008 года. Фильм был очень тепло принят публикой и критиками."	Поппи уже тридцать лет, но она, кажется, пока не думает о замужестве. Она делит квартиру с подругой, работает в детском саду, в свободное время ходит на курсы фламенко, любит подурачиться и вообще живёт в своё удовольствие. Поначалу всё время улыбающаяся, жизнерадостная женщина кажется большим ребёнком, не способным думать о будущем, однако выпадающие на её долю за время фильма испытания вскрывают мудрость Поппи и способность справляться с психологически сложными ситуациями. Ей удаётся находить общий язык и с проблемными детьми, и с полоумными бродягами, а также смеяться, когда её корчит от боли на столе костоправа. Она начинает занятия по обучению вождению машиной и, незаметно для себя, влюбляет в себя инструктора, сухаря и профессионала до мозга костей.
Сказка о мёртвой царевне и о семи богатырях (мультфильм)	Сказка	7.4	«Сказка о мёртвой царевне и о семи богатырях» — советский рисованный мультипликационный фильм, выпущенный студией «Союзмультфильм» в 1951 году, экранизация одноимённой сказки (1833) Александра Пушкина.	Жили-были царь и царица. Царь уехал на год. Пока он отсутствовал, у его жены родилась дочь. Царица умирает, когда царь возвращается домой. Он горюет, но проходит год, и во дворце появляется новая царица.
Как пришить свою жёнушку	кинокомедия	6.5	«Как пришить свою жёнушку» (англ. How to Murder Your Wife) — американская кинокомедия 1965 года режиссёра Ричарда Куайна. Главные роли исполнили Джек Леммон и Вирна Лизи. Этот фильм можно с уверенностью отнести к американской комедийной классике 1950—1960-х годов.	Стэнли Форд (Джек Леммон) — успешный, счастливый и неженатый художник комиксов, который наслаждается комфортным существованием в своём городском особняке, включая услуги своего верного и внимательного слуги Чарльза Фирбенка (Терри-Томас). В его комиксах секретный агент Баш Бренниган характеризуется высоким уровнем реализма: каким бы возмутительным не показался сюжет, Бренниган делает только то, что может сделать сам Стэнли. Перед тем, как выпустить очередной комикс о похождениях своего героя, Стэнли нанимает актеров и с их помощью проигрывает всю сюжетную линию от начала до конца. При этом Бреннигана играет он сам, в то время как его слуга Чарльз фотографирует весь процесс для того, чтобы потом на основе этих фотографий Стэнли смог изобразить всё это на бумаге. Во время мальчишника по случаю намечающейся свадьбы своего друга Тоби Роулинса (Макс Шоуолтер) Стэнли настолько сильно напивается, что делает предложение красивой итальянской девушке (Вирне Лизи), появившейся из большого торта и одетой лишь в бикини из взбитых сливок.
Снежная королева (фильм, 2002)	приключенческий фильм семейный фильм фэнтези боевик	6.5	"«Снежная королева» (англ. Snow Queen) — американское семейное фэнтези на основе сказки Ханса Кристиана Андерсена.
Изначально, фильм был снят для показа на канале «Hallmark», но в 2009 году также вышел на DVD."	Герда с родителями живёт в маленьком городке, где её отец Вольфганг держит гостиницу «Белый медведь». Мать девочки, Эми, уезжает по делам через лес и попадает в метель. На следующий день её замёрзшее тело находят в лесу, рядом лежит брошь в виде трёх роз. Вольфганг и Герда продолжают жить и работать в гостинице. Через 9 лет на работу нанимается новый посыльный — Кай.
Охота (мультфильм)	фантазия	6.9	"«Охота» — рисованный мультипликационный фильм, который создал режиссёр Эдуард Назаров в 1979 году.
В фильме использована музыка Иоганна Себастьяна Баха."	Улица большого города: высокие дома, освещённые витрины, спешащие прохожие, поток автомобилей… Мальчик заходит в охотничий магазин, рассматривает трофеи и фотографии на стенах, и представляет себе, что он в африканской саванне. Величественно идут слоны, жирафы объедают акацию, журавли кружатся в танце. Пеликаны ловят рыбу, а рядом в воде лежат бегемоты. По саванне бегут зебры, антилопы, страусы. И вдруг мальчик видит льва под деревом, а в стороне — настоящего охотника с винтовкой наизготовку.
Трое мужчин и младенец в люльке	комедия	6.6	«Трое мужчин и младенец в люльке» (фр. Trois Hommes Et Un Couffin) — французский кинофильм, лирическая кинокомедия 1985 года, лауреат трёх премий «Сезар».	Комедия о трёх холостяках, снимающих роскошные апартаменты и ведущих свободный образ жизни. Однажды в их доме появляется женщина, с которой у одного из них была интрижка, и оставляет на попечение младенца. Остальной сюжет крутится вокруг хлопот трех совершенно неумелых в обращении с маленькими детьми мужчин, плюс вмешательство полиции, пакет с героином и тому подобные сложности. Конечно же, в конце фильма все трое влюбляются в ребёнка.
Извините, мы вас не застали	драма	7.6	«Извините, мы вас не застали» (англ. Sorry We Missed You) — драматический фильм 2019 года, поставленный британским режиссёром Кеном Лоучем. Мировая премьера ленты состоялась 16 мая 2019 года на 72-м Каннском международном кинофестивале, где она участвовала в основной конкурсной программе.	Рики и его семья не могут выкарабкаться из долгов ещё со времён финансового кризиса 2008 года. Шанс улучшить своё положение появляется у них вместе с новеньким фургоном и собственным бизнесом по доставке. Это тяжёлая работа, так же как и у жены Рики, которая работает сиделкой. Прочность семейных отношений оказывается под угрозой, когда каждый из героев поневоле «перетягивает одеяло» на себя и свои желания.
